Freq.	V(out)
4.56000000000000e+07	(-9.62331207363553e+01dB,8.71817210015066e+01°)
4.58000000000000e+07	(-1.10009202030962e+02dB,2.48311821446866e+01°)
4.60000000000000e+07	(-9.69282693254547e+01dB,5.57221947970718e+01°)
4.62000000000000e+07	(-1.08294176875755e+02dB,9.16352880608705e+01°)
4.64000000000000e+07	(-1.05951736039472e+02dB,1.89182708089983e+01°)
4.66000000000000e+07	(-1.05199543545654e+02dB,2.61172016982746e+01°)
4.68000000000000e+07	(-1.18651476471702e+02dB,-1.38711409927843e+02°)
4.70000000000000e+07	(-9.57013247137955e+01dB,6.88306210928264e+01°)
4.72000000000000e+07	(-1.03192602336064e+02dB,5.08628067429684e+01°)
4.74000000000000e+07	(-9.86991299107262e+01dB,-2.03657578919368e+01°)
4.76000000000000e+07	(-9.95127858167195e+01dB,1.31992215096553e+02°)
4.78000000000000e+07	(-9.79979388596650e+01dB,8.40739470300972e+01°)
4.80000000000000e+07	(-9.81273683916763e+01dB,2.06096983978901e+00°)
4.82000000000000e+07	(-9.94599734175287e+01dB,1.44708168721073e+02°)
4.84000000000000e+07	(-1.01946974704128e+02dB,7.93433204259619e+01°)
4.86000000000000e+07	(-9.47097307747405e+01dB,5.55304633869636e+01°)
4.88000000000000e+07	(-1.04183620117423e+02dB,1.11053455096533e+02°)
4.90000000000000e+07	(-1.06869351785523e+02dB,-5.49097389420971e+01°)
4.92000000000000e+07	(-9.83839350817918e+01dB,1.38316319202953e+02°)
4.94000000000000e+07	(-1.12414564481367e+02dB,-1.70996563246764e+02°)
4.96000000000000e+07	(-9.64508356751575e+01dB,6.80938244539703e+01°)
4.98000000000000e+07	(-1.03609634178855e+02dB,-1.58192550592013e+00°)
5.00000000000000e+07	(-1.09618431254706e+02dB,-1.00394032619791e+02°)
5.02000000000000e+07	(-1.11367917123597e+02dB,-3.13555725896113e+01°)
5.04000000000000e+07	(-1.02387032634560e+02dB,-1.58207060229641e+01°)
5.06000000000000e+07	(-1.13218157364811e+02dB,1.71428478891918e+02°)
5.08000000000000e+07	(-9.94820490281462e+01dB,1.40724036617040e+02°)
5.10000000000000e+07	(-9.67980521325991e+01dB,7.70606856210708e+01°)
5.12000000000000e+07	(-9.58906781360135e+01dB,8.72235137198751e+01°)
5.14000000000000e+07	(-9.44980003252784e+01dB,-3.54837640356798e+01°)
5.16000000000000e+07	(-9.59479512931311e+01dB,3.89243232492023e+01°)
5.18000000000000e+07	(-9.92621336910443e+01dB,3.17782670647967e+01°)
5.20000000000000e+07	(-1.01183470848459e+02dB,3.63848112526598e+01°)
5.22000000000000e+07	(-1.04141605131946e+02dB,6.53414700210784e+01°)
5.24000000000000e+07	(-1.06047009943855e+02dB,3.84885079472418e+01°)
5.26000000000000e+07	(-1.01702427085063e+02dB,1.71955944899978e+02°)
5.28000000000000e+07	(-1.07351107659558e+02dB,8.61637213304930e+01°)
5.30000000000000e+07	(-1.08583652704854e+02dB,1.01126901697405e+02°)
5.32000000000000e+07	(-1.01496657411443e+02dB,1.70599368468533e+02°)
5.34000000000000e+07	(-1.04892317551386e+02dB,-7.11598351249228e+00°)
5.36000000000000e+07	(-1.04787491994498e+02dB,-1.25693342045891e+02°)
5.38000000000000e+07	(-1.09191885943915e+02dB,7.48123807405487e+01°)
5.40000000000000e+07	(-1.24122229502782e+02dB,2.28386090553225e+01°)
5.42000000000000e+07	(-1.11631187394279e+02dB,1.32300001518059e+02°)
5.44000000000000e+07	(-1.13475798231399e+02dB,1.47322561664012e+02°)
5.46000000000000e+07	(-1.02473137546120e+02dB,1.09072183308078e+02°)
5.48000000000000e+07	(-1.12927810672556e+02dB,-8.97149621418256e+01°)
5.50000000000000e+07	(-1.01912648970079e+02dB,-1.74886634103390e+02°)
5.52000000000000e+07	(-1.10414171374769e+02dB,3.80947121944677e+01°)
5.54000000000000e+07	(-1.07550588067531e+02dB,-6.85193824446201e+01°)
5.56000000000000e+07	(-1.04551955248079e+02dB,5.37621429646933e+00°)
5.58000000000000e+07	(-1.04540174511457e+02dB,-9.11826140161545e+00°)
5.60000000000000e+07	(-1.02827094487491e+02dB,2.72981832570723e+01°)
5.62000000000000e+07	(-1.06643547485606e+02dB,-2.24536431192973e+01°)
5.64000000000000e+07	(-9.80086425228260e+01dB,-7.19578756757015e+01°)
5.66000000000000e+07	(-9.79159777521722e+01dB,-9.26916847317989e+01°)
5.68000000000000e+07	(-9.33899979721719e+01dB,1.07014352359027e+02°)
5.70000000000000e+07	(-9.60162168529816e+01dB,1.01469118399014e+02°)
5.72000000000000e+07	(-9.69415941343887e+01dB,3.43560777418668e+01°)
5.74000000000000e+07	(-9.42246626171423e+01dB,8.66975108637708e+01°)
5.76000000000000e+07	(-1.02784160797594e+02dB,1.48927820849830e+02°)
5.78000000000000e+07	(-9.92658060522927e+01dB,-5.28612860509395e+01°)
5.80000000000000e+07	(-1.00527070957278e+02dB,-1.22368106549328e+02°)
5.82000000000000e+07	(-1.06474691369828e+02dB,-7.27391084645176e+01°)
5.84000000000000e+07	(-9.47870980121553e+01dB,5.31164588549293e+01°)
5.86000000000000e+07	(-1.02455119122585e+02dB,-3.83925550600110e+00°)
5.88000000000000e+07	(-9.54461317122344e+01dB,-3.73860654290541e+01°)
5.90000000000000e+07	(-9.77679228480599e+01dB,7.45739683541801e+01°)
5.92000000000000e+07	(-9.64439855443668e+01dB,7.37121398441800e+01°)
5.94000000000000e+07	(-1.02276116279823e+02dB,-1.33277905569608e+02°)
5.96000000000000e+07	(-1.01009118781737e+02dB,-6.20108196682564e+01°)
5.98000000000000e+07	(-1.04602618714521e+02dB,-7.50138482697500e+00°)
6.00000000000000e+07	(-1.02985978075755e+02dB,6.82003672895107e+00°)
6.02000000000000e+07	(-1.30128293674731e+02dB,1.74766714320883e+02°)
6.04000000000000e+07	(-9.62699503961457e+01dB,-9.92493906545246e+01°)
6.06000000000000e+07	(-1.01887833072415e+02dB,1.09499849542831e+02°)
6.08000000000000e+07	(-9.95308904825024e+01dB,4.15561920990070e+01°)
6.10000000000000e+07	(-1.02264838645977e+02dB,-9.96570438375699e+00°)
6.12000000000000e+07	(-1.07558080844784e+02dB,1.50777811946186e+02°)
6.14000000000000e+07	(-9.88223972722623e+01dB,1.01385342264445e+02°)
6.16000000000000e+07	(-1.01002283273260e+02dB,1.59370411106102e+01°)
6.18000000000000e+07	(-9.88039561391282e+01dB,1.57382762115819e+02°)
6.20000000000000e+07	(-1.00765833285586e+02dB,1.27699225767295e+02°)
6.22000000000000e+07	(-1.06971725244112e+02dB,6.97432105997750e+01°)
6.24000000000000e+07	(-1.18352232681876e+02dB,-9.51154876946678e+00°)
6.26000000000000e+07	(-1.12554619043963e+02dB,3.29606587412176e+01°)
6.28000000000000e+07	(-1.03377045666478e+02dB,7.28044100455253e+01°)
6.30000000000000e+07	(-9.98326596934179e+01dB,2.46529811588544e+01°)
6.32000000000000e+07	(-1.10531942968699e+02dB,8.00070052557445e+01°)
6.34000000000000e+07	(-1.04162163867320e+02dB,7.78698349691101e+01°)
6.36000000000000e+07	(-9.98994589423040e+01dB,8.99765996095661e+01°)
6.38000000000000e+07	(-1.05866458185564e+02dB,5.69789785528939e+01°)
6.40000000000000e+07	(-1.08134325530653e+02dB,1.77723119838378e+02°)
6.42000000000000e+07	(-1.12240120101158e+02dB,9.26485098715746e+01°)
6.44000000000000e+07	(-1.01324500332226e+02dB,4.23607209247135e+00°)
6.46000000000000e+07	(-1.02163215952840e+02dB,-1.88805082874581e+01°)
6.48000000000000e+07	(-1.01977903830863e+02dB,9.93243141308846e+01°)
6.50000000000000e+07	(-1.06173105095621e+02dB,1.08969458809242e+02°)
6.52000000000000e+07	(-1.01236219413398e+02dB,1.06223693556951e+01°)
6.54000000000000e+07	(-1.06917272532763e+02dB,-4.10887468092549e+01°)
6.56000000000000e+07	(-1.07291020578188e+02dB,-1.33193244323164e+02°)
6.58000000000000e+07	(-1.03188498115981e+02dB,-9.36218985396376e+01°)
6.60000000000000e+07	(-1.00576040692622e+02dB,1.79415052204762e+01°)
6.62000000000000e+07	(-1.02048502220174e+02dB,-2.56866445137522e+01°)
6.64000000000000e+07	(-1.10750845771308e+02dB,-1.09374873343611e+01°)
6.66000000000000e+07	(-9.66989538927074e+01dB,7.51505487786600e+01°)
6.68000000000000e+07	(-1.06107727558221e+02dB,-7.47737479541262e+01°)
6.70000000000000e+07	(-1.01751787339619e+02dB,8.28226995957104e+01°)
6.72000000000000e+07	(-1.09343010868777e+02dB,3.24387886895065e+01°)
6.74000000000000e+07	(-1.13227226931356e+02dB,-1.21080505463394e+02°)
6.76000000000000e+07	(-9.60883941909166e+01dB,7.03097685750633e+01°)
6.78000000000000e+07	(-1.00232177905490e+02dB,1.73720884328750e+02°)
6.80000000000000e+07	(-1.03694019421893e+02dB,8.28583291732920e+00°)
6.82000000000000e+07	(-1.04242554314804e+02dB,4.22992604490117e+00°)
6.84000000000000e+07	(-1.31391180804120e+02dB,1.17913523593602e+02°)
6.86000000000000e+07	(-9.86220463856925e+01dB,7.76578919830739e+01°)
6.88000000000000e+07	(-1.10938072864519e+02dB,-5.39941179504395e+01°)
6.90000000000000e+07	(-9.91872168979557e+01dB,-2.72208549992030e+00°)
6.92000000000000e+07	(-9.29349657603227e+01dB,5.06834421118829e+01°)
6.94000000000000e+07	(-9.03388242181234e+01dB,1.10062735020470e+02°)
6.96000000000000e+07	(-9.37139007350645e+01dB,1.75929981659445e+02°)
6.98000000000000e+07	(-9.35253052552015e+01dB,-8.64464624389911e+01°)
7.00000000000000e+07	(-1.30597745448246e+02dB,1.49045355809950e+02°)
7.02000000000000e+07	(-9.78799010543657e+01dB,-9.26254334580109e+01°)
7.04000000000000e+07	(-9.83098778218246e+01dB,-5.48316653453885e+01°)
